Target age (ka),Site Name,Latitude,Longitude,Biome 6000 Consolidated Name,Biome 6000 biome code,Biome 4.2 Biome 6000 common biomes,MegaBiomes (Scheme 2),BIOME 4.2 names from model code,Biome 4.2 code,BIOME4.2 BIOME 6000-equivalencies
0,6 Asseyes Lake,62.65,-141.07,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Alut Lake,60.3,152.31,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,B656,53.66,18,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Barlindtjern,58.17,8.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Belovo,53,83.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Botnaneset,61.6,5.13,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Chabada (central Yakutia),61.98,129.37,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Chechkino,62.25,34.07,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. GH4,50.91,121.6,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. KLC10,50.95,122,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. KLC12,50.93,122,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. KLC13,50.96,122,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. KLC2,50.93,121.89,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. KLC5,50.91,121.9,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. KLC6,50.85,121.9,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. KLC7,50.88,121.9,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. KLC8,50.93,121.9,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. KLC9,50.83,121.9,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. MT3,49.55,121.32,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. MT5,49.61,121.48,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. MT6,49.55,121.48,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. MY1,49.43,121.16,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. MY2,49.45,121.16,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. MY3,49.48,121.16,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. Q1,50.03,121.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
