Target age (ka),Site Name,Latitude,Longitude,Biome 6000 Consolidated Name,Biome 6000 biome code,Biome 4.2 Biome 6000 common biomes,MegaBiomes (Scheme 2),BIOME 4.2 names from model code,Biome 4.2 code,BIOME4.2 BIOME 6000-equivalencies
0,Daxinganling Mt. Q2,50.1,121.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. Q4,50.05,121.67,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. SL10,49.18,120.25,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. SL11,49.21,120.25,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. SL14,49.11,120.08,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. SL2,49.26,120.33,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. SL5,49.1,120.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. SL9,49.18,120.25,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. SS1,49.43,120.92,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. WRC10,49.68,121.79,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. WRC12,49.68,121.79,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. WRC7,49.63,121.67,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Daxinganling Mt. WRC8,49.65,121.67,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Deggemyra II,69.03,17.05,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,"Derput, Yakutia",57.03,124.12,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Dima-2 Section,62.67,146.02,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Elikchan Lake,60.75,151.88,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,F007,47,75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,F015,44.11,70.03,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,F017,47,67.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,F021,44.83,67.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,F126,50.01,45.58,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,F128,49.21,63,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,F227,51.16,40.16,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,F956,53.33,82,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,F979,52.7,76.7,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,F995,45.83,81.66,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-105,48.45,106.62,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-111,50.27,106.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-112,50.03,105.95,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-116,48.07,106.35,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-118,48.35,108.58,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-210,52.83,70.67,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-211,52.85,70.68,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-260,53.18,70.4,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-262,53.03,70.23,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-264,49.37,75.4,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-267,53.78,64.27,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-500,48.46,71.25,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-504,51,81.66,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-669,44.11,70.03,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-676,49.66,45.43,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-80,50.4,100.15,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-83,48.8,103.32,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,FSU-85,48.13,99.83,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Gladkoye Bog,55,83.33,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Goluboye Lake,61.12,152.27,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Guba Do,69.26,33.83,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Kalistratiha,53.5,82.25,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Karasieozerskoe,56.77,60.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Kradenoe,62,129.58,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Krasivoe surface,68.3,161.74,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Labaz Lake section 14-94,72.19,99.6,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Lake Nuochaga,61.3,129.55,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Lama Lake,69.53,90.2,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Lesnoye Lake,59.55,151.83,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Lesnoye Lake,59.55,151.83,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Loch Lomond Ross Dubh,56.09,-4.58,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Loess Plateau 41,37.25,106.28,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-13,71.9,127.02,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-14,71.88,126.98,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-21,69.39,125.14,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-22,69.39,125.13,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-23,69.39,125.13,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-24,69.4,125.12,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-25,69.4,125.13,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-26,69.4,125.13,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-27,69.04,124.21,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-28,69.04,124.22,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-29,70.68,125.87,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-30,70.68,125.87,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,LS-31,70.67,125.88,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Mal Kha,67.6,67.16,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Mukkajarvi,68.7,27.7,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,near Labaz Lake11,72.5,99.83,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,near Labaz Lake12,72.5,99.83,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,none,69.41,86.25,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Nulsaveito,67.67,70.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Old Camp Lake,62.17,149.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Pepelnoye,59.85,150.62,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Pepelnoye Lake,59.85,150.62,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Peschanoe (Ural),56.9,60.32,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Pluhino surface-1,68.68,160.29,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Pluhino surface-2,68.68,160.29,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Podokova Lake,59.95,152.1,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Priyatnoye Lake (informal name),61.03,151.72,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R050,70.75,136.27,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R051,70.75,136.27,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R054,70.75,136.27,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R056,70.97,136.53,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R057,70.84,136.53,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R059,71.15,136,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R060,71.15,136,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R061,71.15,136,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R062,70,135.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R066,67.78,134.92,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R067,67.67,134.83,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R068,67.5,134.83,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R069,67.83,134.87,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R070,67.58,135.58,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R071,67.67,135.42,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R072,67.92,135.58,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R074,67.33,134.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R075,67.67,134.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R076,67.62,134.67,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R077,67.75,134.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R078,67.75,135,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R079,67.98,135.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R080,67.5,134.83,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R082,67.92,135.42,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R083,66.5,136.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R084,64,125,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R085,64,125,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R086,64,125,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R087,64,125,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R089,67.75,135,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R090,64.67,141.67,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R091,64.67,143.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R092,59.5,150.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R094,65.5,151,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R095,69,161.33,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R098,59.5,150.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R105,65.5,151,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R109,59.5,150.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R110,60,150.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R112,60,150.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R113,69,161.33,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R114,65.5,151,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R115,64.75,141.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R116,67.57,135,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R117,62.67,147.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R128,63.5,128.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R129,62.25,129.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R130,62.25,129.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R131,63.3,128.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R132,62,129.33,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R133,62,129.33,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R134,62,129.33,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R135,63.5,128.75,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R139,62,132.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R140,62,132.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R141,62,132.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R143,62,132.17,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R144,62.25,133.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R145,62.25,133.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R146,63.33,129,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R148,63.33,129,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R149,63.33,129,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R150,63.33,129,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R151,63,127.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R152,63,127.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R153,63,127.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R154,63,127.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R155,61.99,129.37,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R156,71.05,135.23,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R157,63.72,121.62,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R158,63.67,123.25,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R159,61.99,129.37,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R160,61.3,129.55,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R161,64.83,120.97,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,R162,63.67,123.25,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Rock Island,62.17,149.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Rock Island Lake,62.17,149.5,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,Rublevo,55.78,37.35,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,S014,64.58,143.23,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,S057,70.43,-157.4,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,S061,71.23,-156.37,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,S062,68.6,-160.53,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,S080,62.05,132.33,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,S081,62.05,132.33,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,S082,62.05,132.33,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,S084,62.05,132.33,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,S085,64.8,133.67,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
0,S086,64.8,133.67,cold deciduous forest,8,Cold deciduous forest,boreal forest,Deciduous taiga/montane forest,11,Cold deciduous forest
