BIOME,biomname,ECO_NAME,CODE,TYPE,count,synbiome,synth
4,Temperate Broadleaf and Mixed Forests,Southern Great Lakes forests,95,Appalachian oak forest,8,Temperate Deciduous Forest,Appalachian oak forest
4,Temperate Broadleaf and Mixed Forests,Allegheny Highlands forests,93,Beech-maple forest,3,Temperate Deciduous Forest,Beech-maple forest
4,Temperate Broadleaf and Mixed Forests,Appalachian mixed mesophytic forests,93,Beech-maple forest,1,Temperate Deciduous Forest,Beech-maple forest
4,Temperate Broadleaf and Mixed Forests,Central U.S. hardwood forests,93,Beech-maple forest,21,Temperate Deciduous Forest,Beech-maple forest
4,Temperate Broadleaf and Mixed Forests,Eastern forest-boreal transition,93,Beech-maple forest,1,Temperate Deciduous Forest,Beech-maple forest
4,Temperate Broadleaf and Mixed Forests,Eastern Great Lakes lowland forests,93,Beech-maple forest,7,Temperate Deciduous Forest,Beech-maple forest
4,Temperate Broadleaf and Mixed Forests,Southern Great Lakes forests,93,Beech-maple forest,178,Temperate Deciduous Forest,Beech-maple forest
4,Temperate Broadleaf and Mixed Forests,Southern Great Lakes forests,0,unk,25,Temperate Deciduous Forest,Beech-maple forest
8,"Temperate Grasslands, Savannas, and Shrublands",Central forest-grasslands transition,90,Maple-basswood forest,1,Temperate Deciduous Forest,Maple-basswood forest
8,"Temperate Grasslands, Savannas, and Shrublands",Central tall grasslands,90,Maple-basswood forest,6,Temperate Deciduous Forest,Maple-basswood forest
4,Temperate Broadleaf and Mixed Forests,Upper Midwest forest-savanna transition,90,Maple-basswood forest,90,Temperate Deciduous Forest,Maple-basswood forest
4,Temperate Broadleaf and Mixed Forests,Western Great Lakes forests,90,Maple-basswood forest,7,Temperate Deciduous Forest,Maple-basswood forest
4,Temperate Broadleaf and Mixed Forests,Appalachian mixed mesophytic forests,94,Mixed mesophytic forest,177,Temperate Deciduous Forest,Mixed mesophytic forest
4,Temperate Broadleaf and Mixed Forests,Appalachian-Blue Ridge forests,94,Mixed mesophytic forest,4,Temperate Deciduous Forest,Mixed mesophytic forest
4,Temperate Broadleaf and Mixed Forests,Southern Great Lakes forests,94,Mixed mesophytic forest,2,Temperate Deciduous Forest,Mixed mesophytic forest
8,"Temperate Grasslands, Savannas, and Shrublands",Canadian Aspen forests and parklands,72,Oak savanna,1,Temperate Deciduous Forest,Oak savanna
8,"Temperate Grasslands, Savannas, and Shrublands",Central forest-grasslands transition,72,Oak savanna,3,Temperate Deciduous Forest,Oak savanna
8,"Temperate Grasslands, Savannas, and Shrublands",Central tall grasslands,72,Oak savanna,4,Temperate Deciduous Forest,Oak savanna
8,"Temperate Grasslands, Savannas, and Shrublands",Northern mixed grasslands,72,Oak savanna,2,Temperate Deciduous Forest,Oak savanna
8,"Temperate Grasslands, Savannas, and Shrublands",Northern tall grasslands,72,Oak savanna,3,Temperate Deciduous Forest,Oak savanna
4,Temperate Broadleaf and Mixed Forests,Upper Midwest forest-savanna transition,72,Oak savanna,97,Temperate Deciduous Forest,Oak savanna
4,Temperate Broadleaf and Mixed Forests,Upper Midwest forest-savanna transition,0,unk,6,Temperate Deciduous Forest,Oak savanna
4,Temperate Broadleaf and Mixed Forests,Appalachian mixed mesophytic forests,91,Oak-hickory forest,5,Temperate Deciduous Forest,Oak-hickory forest
8,"Temperate Grasslands, Savannas, and Shrublands",Central forest-grasslands transition,91,Oak-hickory forest,204,Temperate Deciduous Forest,Oak-hickory forest
8,"Temperate Grasslands, Savannas, and Shrublands",Central tall grasslands,91,Oak-hickory forest,75,Temperate Deciduous Forest,Oak-hickory forest
4,Temperate Broadleaf and Mixed Forests,Central U.S. hardwood forests,91,Oak-hickory forest,361,Temperate Deciduous Forest,Oak-hickory forest
4,Temperate Broadleaf and Mixed Forests,Central U.S. hardwood forests,73,Mosaic of numbers 66 and 91,14,Temperate Deciduous Forest,Oak-hickory forest
4,Temperate Broadleaf and Mixed Forests,East Central Texas forests,91,Oak-hickory forest,32,Temperate Deciduous Forest,Oak-hickory forest
8,"Temperate Grasslands, Savannas, and Shrublands",Flint Hills tall grasslands,91,Oak-hickory forest,1,Temperate Deciduous Forest,Oak-hickory forest
4,Temperate Broadleaf and Mixed Forests,Mississippi lowland forests,91,Oak-hickory forest,13,Temperate Deciduous Forest,Oak-hickory forest
4,Temperate Broadleaf and Mixed Forests,Ozark Mountain forests,91,Oak-hickory forest,26,Temperate Deciduous Forest,Oak-hickory forest
4,Temperate Broadleaf and Mixed Forests,Ozark Mountain forests,73,Mosaic of numbers 66 and 91,1,Temperate Deciduous Forest,Oak-hickory forest
4,Temperate Broadleaf and Mixed Forests,Southeastern mixed forests,91,Oak-hickory forest,9,Temperate Deciduous Forest,Oak-hickory forest
4,Temperate Broadleaf and Mixed Forests,Southern Great Lakes forests,91,Oak-hickory forest,112,Temperate Deciduous Forest,Oak-hickory forest
4,Temperate Broadleaf and Mixed Forests,Southern Great Lakes forests,73,Mosaic of numbers 66 and 91,13,Temperate Deciduous Forest,Oak-hickory forest
8,"Temperate Grasslands, Savannas, and Shrublands",Texas blackland prairies,91,Oak-hickory forest,15,Temperate Deciduous Forest,Oak-hickory forest
5,Temperate Coniferous Forests,Klamath-Siskiyou forests,22,Oregon oakwoods,9,Temperate Deciduous Forest,Oregon oakwoods
5,Temperate Coniferous Forests,Klamath-Siskiyou forests,24,Mosaic of numbers 2 and 22,2,Temperate Deciduous Forest,Oregon oakwoods
4,Temperate Broadleaf and Mixed Forests,Willamette Valley forests,24,Mosaic of numbers 2 and 22,28,Temperate Deciduous Forest,Oregon oakwoods
4,Temperate Broadleaf and Mixed Forests,Celtic broadleaf forests,0,unk,90,Temperate Deciduous Forest,
4,Temperate Broadleaf and Mixed Forests,North Atlantic moist mixed forests,0,unk,27,Temperate Deciduous Forest,
4,Temperate Broadleaf and Mixed Forests,Southeastern mixed forests,80,Blackbelt,22,Temperate Grassland,Blackbelt
8,"Temperate Grasslands, Savannas, and Shrublands",Central and Southern mixed grasslands,68,Blackland prairie,3,Temperate Grassland,Blackland prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central forest-grasslands transition,68,Blackland prairie,25,Temperate Grassland,Blackland prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Edwards Plateau savanna,68,Blackland prairie,1,Temperate Grassland,Blackland prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Texas blackland prairies,68,Blackland prairie,52,Temperate Grassland,Blackland prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central and Southern mixed grasslands,66,Bluestem prairie,45,Temperate Grassland,Bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central forest-grasslands transition,73,Mosaic of numbers 66 and 91,255,Temperate Grassland,Bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central forest-grasslands transition,66,Bluestem prairie,8,Temperate Grassland,Bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central tall grasslands,66,Bluestem prairie,228,Temperate Grassland,Bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central tall grasslands,73,Mosaic of numbers 66 and 91,43,Temperate Grassland,Bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Flint Hills tall grasslands,66,Bluestem prairie,33,Temperate Grassland,Bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Northern mixed grasslands,66,Bluestem prairie,8,Temperate Grassland,Bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Northern tall grasslands,66,Bluestem prairie,38,Temperate Grassland,Bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Northern tall grasslands,0,unk,18,Temperate Grassland,Bluestem prairie
4,Temperate Broadleaf and Mixed Forests,Upper Midwest forest-savanna transition,66,Bluestem prairie,17,Temperate Grassland,Bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central and Southern mixed grasslands,62,Bluestem-grama prairie,145,Temperate Grassland,Bluestem-grama prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central forest-grasslands transition,62,Bluestem-grama prairie,1,Temperate Grassland,Bluestem-grama prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Western short grasslands,62,Bluestem-grama prairie,13,Temperate Grassland,Bluestem-grama prairie
4,Temperate Broadleaf and Mixed Forests,East Central Texas forests,69,Bluestem-sacahuista prairie,2,Temperate Grassland,Bluestem-sacahuista prairie
4,Temperate Broadleaf and Mixed Forests,Mississippi lowland forests,69,Bluestem-sacahuista prairie,5,Temperate Grassland,Bluestem-sacahuista prairie
8,"Temperate Grasslands, Savannas, and Shrublands",California Central Valley grasslands,41,California steppe,66,Temperate Grassland,California steppe
12,"Mediterranean Forests, Woodlands, and Scrub",California coastal sage and chaparral,41,California steppe,13,Temperate Grassland,California steppe
12,"Mediterranean Forests, Woodlands, and Scrub",California interior chaparral and woodlands,41,California steppe,20,Temperate Grassland,California steppe
12,"Mediterranean Forests, Woodlands, and Scrub",California montane chaparral and woodlands,41,California steppe,1,Temperate Grassland,California steppe
4,Temperate Broadleaf and Mixed Forests,Central U.S. hardwood forests,74,Cedar glades,20,Temperate Grassland,Cedar glades
8,"Temperate Grasslands, Savannas, and Shrublands",Central and Southern mixed grasslands,75,Cross timbers,12,Temperate Grassland,Cross timbers
8,"Temperate Grasslands, Savannas, and Shrublands",Central forest-grasslands transition,75,Cross timbers,94,Temperate Grassland,Cross timbers
8,"Temperate Grasslands, Savannas, and Shrublands",Flint Hills tall grasslands,75,Cross timbers,4,Temperate Grassland,Cross timbers
4,Temperate Broadleaf and Mixed Forests,Ozark Mountain forests,75,Cross timbers,4,Temperate Grassland,Cross timbers
8,"Temperate Grasslands, Savannas, and Shrublands",Texas blackland prairies,75,Cross timbers,7,Temperate Grassland,Cross timbers
4,Temperate Broadleaf and Mixed Forests,East Central Texas forests,79,Fayette prairie,1,Temperate Grassland,Fayette prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Texas blackland prairies,79,Fayette prairie,15,Temperate Grassland,Fayette prairie
13,Deserts and Xeric Shrublands,Colorado Plateau shrublands,46,Fescue-mountain muhly prairie,7,Temperate Grassland,Fescue-mountain muhly prairie
5,Temperate Coniferous Forests,Colorado Rockies forests,46,Fescue-mountain muhly prairie,4,Temperate Grassland,Fescue-mountain muhly prairie
12,"Mediterranean Forests, Woodlands, and Scrub",California interior chaparral and woodlands,40,Fescue-oatgrass,12,Temperate Grassland,Fescue-oatgrass
5,Temperate Coniferous Forests,Northern California coastal forests,40,Fescue-oatgrass,1,Temperate Grassland,Fescue-oatgrass
5,Temperate Coniferous Forests,Cascade Mountains leeward forests,43,Fescue-wheatgrass,3,Temperate Grassland,Fescue-wheatgrass
5,Temperate Coniferous Forests,North Central Rockies forests,43,Fescue-wheatgrass,2,Temperate Grassland,Fescue-wheatgrass
8,"Temperate Grasslands, Savannas, and Shrublands",Palouse grasslands,43,Fescue-wheatgrass,31,Temperate Grassland,Fescue-wheatgrass
8,"Temperate Grasslands, Savannas, and Shrublands",Montana Valley and Foothill grasslands,56,Foothills prairie,53,Temperate Grassland,Foothills prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Montana Valley and Foothill grasslands,0,unk,7,Temperate Grassland,Foothills prairie
5,Temperate Coniferous Forests,North Central Rockies forests,56,Foothills prairie,10,Temperate Grassland,Foothills prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Northern short grasslands,56,Foothills prairie,2,Temperate Grassland,Foothills prairie
5,Temperate Coniferous Forests,South Central Rockies forests,56,Foothills prairie,2,Temperate Grassland,Foothills prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central and Southern mixed grasslands,58,Grama-buffalo grass,8,Temperate Grassland,Grama-buffalo grass
5,Temperate Coniferous Forests,Colorado Rockies forests,58,Grama-buffalo grass,11,Temperate Grassland,Grama-buffalo grass
8,"Temperate Grasslands, Savannas, and Shrublands",Northern short grasslands,58,Grama-buffalo grass,2,Temperate Grassland,Grama-buffalo grass
8,"Temperate Grasslands, Savannas, and Shrublands",Western short grasslands,58,Grama-buffalo grass,401,Temperate Grassland,Grama-buffalo grass
5,Temperate Coniferous Forests,Colorado Rockies forests,57,Grama-needlegrass-wheatgrass,4,Temperate Grassland,Grama-needlegrass-wheatgrass
8,"Temperate Grasslands, Savannas, and Shrublands",Montana Valley and Foothill grasslands,57,Grama-needlegrass-wheatgrass,9,Temperate Grassland,Grama-needlegrass-wheatgrass
8,"Temperate Grasslands, Savannas, and Shrublands",Northern short grasslands,57,Grama-needlegrass-wheatgrass,188,Temperate Grassland,Grama-needlegrass-wheatgrass
5,Temperate Coniferous Forests,South Central Rockies forests,57,Grama-needlegrass-wheatgrass,1,Temperate Grassland,Grama-needlegrass-wheatgrass
8,"Temperate Grasslands, Savannas, and Shrublands",Western short grasslands,57,Grama-needlegrass-wheatgrass,2,Temperate Grassland,Grama-needlegrass-wheatgrass
13,Deserts and Xeric Shrublands,Wyoming Basin shrub steppe,57,Grama-needlegrass-wheatgrass,16,Temperate Grassland,Grama-needlegrass-wheatgrass
8,"Temperate Grasslands, Savannas, and Shrublands",Central and Southern mixed grasslands,67,Sandhills prairie,19,Temperate Grassland,Sandhills prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central tall grasslands,67,Sandhills prairie,1,Temperate Grassland,Sandhills prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Nebraska Sand Hills mixed grasslands,67,Sandhills prairie,57,Temperate Grassland,Sandhills prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Northern mixed grasslands,67,Sandhills prairie,3,Temperate Grassland,Sandhills prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Northern short grasslands,67,Sandhills prairie,1,Temperate Grassland,Sandhills prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central and Southern mixed grasslands,63,Sandsage-bluestem prairie,4,Temperate Grassland,Sandsage-bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Nebraska Sand Hills mixed grasslands,63,Sandsage-bluestem prairie,2,Temperate Grassland,Sandsage-bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Western short grasslands,63,Sandsage-bluestem prairie,24,Temperate Grassland,Sandsage-bluestem prairie
8,"Temperate Grasslands, Savannas, and Shrublands",Central and Southern mixed grasslands,64,Shinnery,4,Temperate Grassland,Shinnery
8,"Temperate Grasslands, Savannas, and Shrublands",Western short grasslands,64,Shinnery,22,Temperate Grassland,Shinnery
5,Temperate Coniferous Forests,Blue Mountains forests,44,Wheatgrass-bluegrass,18,Temperate Grassland,Wheatgrass-bluegrass
13,Deserts and Xeric Shrublands,Great Basin shrub steppe,44,Wheatgrass-bluegrass,3,Temperate Grassland,Wheatgrass-bluegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Palouse grasslands,44,Wheatgrass-bluegrass,35,Temperate Grassland,Wheatgrass-bluegrass
13,Deserts and Xeric Shrublands,Snake-Columbia shrub steppe,44,Wheatgrass-bluegrass,7,Temperate Grassland,Wheatgrass-bluegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Canadian Aspen forests and parklands,0,unk,206,Temperate Grassland,Wheatgrass-bluestem-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Canadian Aspen forests and parklands,60,Wheatgrass-bluestem-needlegrass,5,Temperate Grassland,Wheatgrass-bluestem-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Central and Southern mixed grasslands,60,Wheatgrass-bluestem-needlegrass,37,Temperate Grassland,Wheatgrass-bluestem-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Nebraska Sand Hills mixed grasslands,60,Wheatgrass-bluestem-needlegrass,11,Temperate Grassland,Wheatgrass-bluestem-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Northern mixed grasslands,60,Wheatgrass-bluestem-needlegrass,91,Temperate Grassland,Wheatgrass-bluestem-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Northern mixed grasslands,0,unk,63,Temperate Grassland,Wheatgrass-bluestem-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Northern short grasslands,60,Wheatgrass-bluestem-needlegrass,11,Temperate Grassland,Wheatgrass-bluestem-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Western short grasslands,60,Wheatgrass-bluestem-needlegrass,5,Temperate Grassland,Wheatgrass-bluestem-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Nebraska Sand Hills mixed grasslands,59,Wheatgrass-needlegrass,1,Temperate Grassland,Wheatgrass-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Northern mixed grasslands,59,Wheatgrass-needlegrass,5,Temperate Grassland,Wheatgrass-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Northern short grasslands,59,Wheatgrass-needlegrass,281,Temperate Grassland,Wheatgrass-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Northern short grasslands,0,unk,89,Temperate Grassland,Wheatgrass-needlegrass
5,Temperate Coniferous Forests,South Central Rockies forests,59,Wheatgrass-needlegrass,1,Temperate Grassland,Wheatgrass-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Western short grasslands,59,Wheatgrass-needlegrass,6,Temperate Grassland,Wheatgrass-needlegrass
8,"Temperate Grasslands, Savannas, and Shrublands",Faroe Islands boreal grasslands,0,unk,9,Temperate Grassland,
4,Temperate Broadleaf and Mixed Forests,Gulf of St. Lawrence lowland forests,0,unk,29,Temperate Mixed Forest,Gulf of St. Lawrence lowland forests
4,Temperate Broadleaf and Mixed Forests,Allegheny Highlands forests,99,Northern hardwods-spruce forest,1,Temperate Mixed Forest,Northern hardwods-spruce forest
4,Temperate Broadleaf and Mixed Forests,Eastern forest-boreal transition,0,unk,173,Temperate Mixed Forest,Northern hardwods-spruce forest
4,Temperate Broadleaf and Mixed Forests,Eastern forest-boreal transition,99,Northern hardwods-spruce forest,15,Temperate Mixed Forest,Northern hardwods-spruce forest
4,Temperate Broadleaf and Mixed Forests,New England-Acadian forests,99,Northern hardwods-spruce forest,74,Temperate Mixed Forest,Northern hardwods-spruce forest
4,Temperate Broadleaf and Mixed Forests,New England-Acadian forests,0,unk,67,Temperate Mixed Forest,Northern hardwods-spruce forest
4,Temperate Broadleaf and Mixed Forests,Northeastern coastal forests,99,Northern hardwods-spruce forest,11,Temperate Mixed Forest,Northern hardwods-spruce forest
4,Temperate Broadleaf and Mixed Forests,Allegheny Highlands forests,97,Northern hardwoods,112,Temperate Mixed Forest,Northern hardwoods
4,Temperate Broadleaf and Mixed Forests,Appalachian mixed mesophytic forests,97,Northern hardwoods,21,Temperate Mixed Forest,Northern hardwoods
4,Temperate Broadleaf and Mixed Forests,Appalachian-Blue Ridge forests,97,Northern hardwoods,26,Temperate Mixed Forest,Northern hardwoods
4,Temperate Broadleaf and Mixed Forests,Eastern forest-boreal transition,97,Northern hardwoods,14,Temperate Mixed Forest,Northern hardwoods
4,Temperate Broadleaf and Mixed Forests,Eastern Great Lakes lowland forests,0,unk,53,Temperate Mixed Forest,Northern hardwoods
4,Temperate Broadleaf and Mixed Forests,Eastern Great Lakes lowland forests,97,Northern hardwoods,35,Temperate Mixed Forest,Northern hardwoods
4,Temperate Broadleaf and Mixed Forests,New England-Acadian forests,97,Northern hardwoods,113,Temperate Mixed Forest,Northern hardwoods
4,Temperate Broadleaf and Mixed Forests,Northeastern coastal forests,97,Northern hardwoods,66,Temperate Mixed Forest,Northern hardwoods
4,Temperate Broadleaf and Mixed Forests,Southern Great Lakes forests,97,Northern hardwoods,27,Temperate Mixed Forest,Northern hardwoods
4,Temperate Broadleaf and Mixed Forests,Upper Midwest forest-savanna transition,97,Northern hardwoods,69,Temperate Mixed Forest,Northern hardwoods
4,Temperate Broadleaf and Mixed Forests,Western Great Lakes forests,97,Northern hardwoods,45,Temperate Mixed Forest,Northern hardwoods
5,Temperate Coniferous Forests,Arizona Mountains forests,18,Arizona pine forest,20,Temperate Pine Forest,Arizona pine forest
13,Deserts and Xeric Shrublands,Colorado Plateau shrublands,18,Arizona pine forest,2,Temperate Pine Forest,Arizona pine forest
13,Deserts and Xeric Shrublands,Great Basin shrub steppe,18,Arizona pine forest,1,Temperate Pine Forest,Arizona pine forest
5,Temperate Coniferous Forests,Wasatch and Uinta montane forests,18,Arizona pine forest,2,Temperate Pine Forest,Arizona pine forest
8,"Temperate Grasslands, Savannas, and Shrublands",Northern short grasslands,16,Black Hills pine forest,7,Temperate Pine Forest,Black Hills pine forest
5,Temperate Coniferous Forests,South Central Rockies forests,16,Black Hills pine forest,15,Temperate Pine Forest,Black Hills pine forest
5,Temperate Coniferous Forests,North Central Rockies forests,12,Ceder-hemlock-pine forest,20,Temperate Pine Forest,Ceder-hemlock-pine forest
8,"Temperate Grasslands, Savannas, and Shrublands",Montana Valley and Foothill grasslands,15,Eastern ponderosa forest,1,Temperate Pine Forest,Eastern ponderosa forest
8,"Temperate Grasslands, Savannas, and Shrublands",Nebraska Sand Hills mixed grasslands,15,Eastern ponderosa forest,1,Temperate Pine Forest,Eastern ponderosa forest
8,"Temperate Grasslands, Savannas, and Shrublands",Northern short grasslands,15,Eastern ponderosa forest,23,Temperate Pine Forest,Eastern ponderosa forest
8,"Temperate Grasslands, Savannas, and Shrublands",Western short grasslands,15,Eastern ponderosa forest,2,Temperate Pine Forest,Eastern ponderosa forest
4,Temperate Broadleaf and Mixed Forests,Southern Great Lakes forests,86,Great Lakes pine forest,16,Temperate Pine Forest,Great Lakes pine forest
4,Temperate Broadleaf and Mixed Forests,Upper Midwest forest-savanna transition,86,Great Lakes pine forest,18,Temperate Pine Forest,Great Lakes pine forest
4,Temperate Broadleaf and Mixed Forests,Western Great Lakes forests,86,Great Lakes pine forest,84,Temperate Pine Forest,Great Lakes pine forest
4,Temperate Broadleaf and Mixed Forests,Western Great Lakes forests,0,unk,60,Temperate Pine Forest,Great Lakes pine forest
5,Temperate Coniferous Forests,Atlantic coastal pine barrens,100,Northeastern oak-pine forest,32,Temperate Pine Forest,Northeastern oak-pine forest
5,Temperate Coniferous Forests,Atlantic coastal pine barrens,0,unk,4,Temperate Pine Forest,Northeastern oak-pine forest
4,Temperate Broadleaf and Mixed Forests,Northeastern coastal forests,100,Northeastern oak-pine forest,1,Temperate Pine Forest,Northeastern oak-pine forest
4,Temperate Broadleaf and Mixed Forests,Appalachian mixed mesophytic forests,101,Oak-hickory-pine forest,38,Temperate Pine Forest,Oak-hickory-pine forest
4,Temperate Broadleaf and Mixed Forests,Appalachian-Blue Ridge forests,101,Oak-hickory-pine forest,63,Temperate Pine Forest,Oak-hickory-pine forest
8,"Temperate Grasslands, Savannas, and Shrublands",Central forest-grasslands transition,101,Oak-hickory-pine forest,5,Temperate Pine Forest,Oak-hickory-pine forest
4,Temperate Broadleaf and Mixed Forests,Central U.S. hardwood forests,101,Oak-hickory-pine forest,29,Temperate Pine Forest,Oak-hickory-pine forest
4,Temperate Broadleaf and Mixed Forests,East Central Texas forests,101,Oak-hickory-pine forest,15,Temperate Pine Forest,Oak-hickory-pine forest
5,Temperate Coniferous Forests,Middle Atlantic coastal forests,101,Oak-hickory-pine forest,163,Temperate Pine Forest,Oak-hickory-pine forest
4,Temperate Broadleaf and Mixed Forests,Northeastern coastal forests,101,Oak-hickory-pine forest,1,Temperate Pine Forest,Oak-hickory-pine forest
4,Temperate Broadleaf and Mixed Forests,Ozark Mountain forests,101,Oak-hickory-pine forest,46,Temperate Pine Forest,Oak-hickory-pine forest
5,Temperate Coniferous Forests,Piney Woods forests,101,Oak-hickory-pine forest,130,Temperate Pine Forest,Oak-hickory-pine forest
5,Temperate Coniferous Forests,Southeastern conifer forests,101,Oak-hickory-pine forest,3,Temperate Pine Forest,Oak-hickory-pine forest
4,Temperate Broadleaf and Mixed Forests,Southeastern mixed forests,101,Oak-hickory-pine forest,444,Temperate Pine Forest,Oak-hickory-pine forest
4,Temperate Broadleaf and Mixed Forests,Southeastern mixed forests,0,unk,1,Temperate Pine Forest,Oak-hickory-pine forest
7,"Tropical and subtropical grasslands, savannas, and shrublands",Western Gulf coastal grasslands,101,Oak-hickory-pine forest,6,Temperate Pine Forest,Oak-hickory-pine forest
5,Temperate Coniferous Forests,Arizona Mountains forests,17,Pine-Douglas fir forest,20,Temperate Pine Forest,Pine-Douglas fir forest
13,Deserts and Xeric Shrublands,Colorado Plateau shrublands,17,Pine-Douglas fir forest,14,Temperate Pine Forest,Pine-Douglas fir forest
5,Temperate Coniferous Forests,Colorado Rockies forests,17,Pine-Douglas fir forest,48,Temperate Pine Forest,Pine-Douglas fir forest
5,Temperate Coniferous Forests,Sierra Juarez and San Pedro Martir pine-oak forests,0,unk,12,Temperate Pine Forest,Sierra Juarez and San Pedro Martir pine-oak forests
5,Temperate Coniferous Forests,Blue Mountains forests,10,Western ponderosa forest,9,Temperate Pine Forest,Western ponderosa forest
5,Temperate Coniferous Forests,Cascade Mountains leeward forests,10,Western ponderosa forest,1,Temperate Pine Forest,Western ponderosa forest
5,Temperate Coniferous Forests,Central and Southern Cascades forests,10,Western ponderosa forest,1,Temperate Pine Forest,Western ponderosa forest
5,Temperate Coniferous Forests,Eastern Cascades forests,10,Western ponderosa forest,24,Temperate Pine Forest,Western ponderosa forest
5,Temperate Coniferous Forests,Great Basin montane forests,10,Western ponderosa forest,5,Temperate Pine Forest,Western ponderosa forest
8,"Temperate Grasslands, Savannas, and Shrublands",Montana Valley and Foothill grasslands,10,Western ponderosa forest,9,Temperate Pine Forest,Western ponderosa forest
5,Temperate Coniferous Forests,Okanagan dry forests,0,unk,28,Temperate Pine Forest,Western ponderosa forest
5,Temperate Coniferous Forests,Okanagan dry forests,10,Western ponderosa forest,1,Temperate Pine Forest,Western ponderosa forest
8,"Temperate Grasslands, Savannas, and Shrublands",Palouse grasslands,10,Western ponderosa forest,7,Temperate Pine Forest,Western ponderosa forest
5,Temperate Coniferous Forests,Sierra Nevada forests,10,Western ponderosa forest,2,Temperate Pine Forest,Western ponderosa forest
13,Deserts and Xeric Shrublands,Snake-Columbia shrub steppe,10,Western ponderosa forest,2,Temperate Pine Forest,Western ponderosa forest
5,Temperate Coniferous Forests,South Central Rockies forests,10,Western ponderosa forest,11,Temperate Pine Forest,Western ponderosa forest
5,Temperate Coniferous Forests,Caledon conifer forests,0,unk,21,Temperate Pine Forest,
5,Temperate Coniferous Forests,Middle Atlantic coastal forests,0,unk,14,Temperate Pine Forest,
5,Temperate Coniferous Forests,Southeastern conifer forests,0,unk,13,Temperate Pine Forest,
2,Tropical and Subtropical Dry Broadleaf Forests,Apure-Villavicencio dry forests,0,unk,42,Tropical Dry Forest,Apure-Villavicencio dry forests
2,Tropical and Subtropical Dry Broadleaf Forests,Bajío dry forests,0,unk,28,Tropical Dry Forest,Bajío dry forests
2,Tropical and Subtropical Dry Broadleaf Forests,Balsas dry forests,0,unk,41,Tropical Dry Forest,Balsas dry forests
2,Tropical and Subtropical Dry Broadleaf Forests,Cauca Valley dry forests,0,unk,3,Tropical Dry Forest,Cauca Valley dry forests
2,Tropical and Subtropical Dry Broadleaf Forests,Central American dry forests,0,unk,43,Tropical Dry Forest,Central American dry forests
2,Tropical and Subtropical Dry Broadleaf Forests,Chiapas Depression dry forests,0,unk,16,Tropical Dry Forest,Chiapas Depression dry forests
2,Tropical and Subtropical Dry Broadleaf Forests,Cuban dry forests,0,unk,42,Tropical Dry Forest,Cuban dry forests
2,Tropical and Subtropical Dry Broadleaf Forests,Hawaii tropical dry forests,0,unk,34,Tropical Dry Forest,Hawaii tropical dry forests
2,Tropical and Subtropical Dry Broadleaf Forests,Hispaniolan dry forests,0,unk,17,Tropical Dry Forest,Hispaniolan dry forests
2,Tropical and Subtropical Dry Broadleaf Forests,Jalisco dry forests,0,unk,22,Tropical Dry Forest,Jalisco dry forests
