VALUE,BPS_NAME,legend
670,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
699,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
825,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
889,Inter-Mountain Basins Mat Saltbush Shrubland,Salt Desert
893,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
916,Sonora-Mojave Mixed Salt Desert Scrub,Salt Desert
940,Sonora-Mojave Mixed Salt Desert Scrub,Salt Desert
985,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
1023,Inter-Mountain Basins Mat Saltbush Shrubland,Salt Desert
1026,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
1062,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
1065,Sonora-Mojave Mixed Salt Desert Scrub,Salt Desert
1092,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
1125,Inter-Mountain Basins Mat Saltbush Shrubland,Salt Desert
1128,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
1162,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
1196,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
1233,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
1259,Inter-Mountain Basins Mat Saltbush Shrubland,Salt Desert
1353,Sonora-Mojave Mixed Salt Desert Scrub,Salt Desert
1408,Inter-Mountain Basins Mixed Salt Desert Scrub,Salt Desert
1483,Inter-Mountain Basins Mixed Salt Desert Scrub - South,Salt Desert
1484,Inter-Mountain Basins Mixed Salt Desert Scrub - North,Salt Desert
1760,Texas-Louisiana Saline Coastal Prairie,Salt Marsh
444,Inter-Mountain Basins Greasewood Flat,Salt Marsh
480,Inter-Mountain Basins Greasewood Flat,Salt Marsh
520,Inter-Mountain Basins Greasewood Flat,Salt Marsh
618,Inter-Mountain Basins Greasewood Flat,Salt Marsh
652,Inter-Mountain Basins Greasewood Flat,Salt Marsh
681,Inter-Mountain Basins Greasewood Flat,Salt Marsh
711,Inter-Mountain Basins Greasewood Flat,Salt Marsh
839,Inter-Mountain Basins Greasewood Flat,Salt Marsh
872,Inter-Mountain Basins Greasewood Flat,Salt Marsh
904,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1002,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1042,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1073,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1107,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1142,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1177,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1243,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1273,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1286,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1372,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1498,Inter-Mountain Basins Greasewood Flat,Salt Marsh
1315,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Salt Marsh
1337,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Salt Marsh
1401,Western Great Plains Depressional Wetland Systems - Playa,Salt Marsh
1431,Western Great Plains Depressional Wetland Systems - Playa,Salt Marsh
1432,Western Great Plains Depressional Wetland Systems - Saline,Salt Marsh
1449,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Salt Marsh
1468,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Salt Marsh
1515,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Salt Marsh
1761,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Salt Marsh
1802,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Salt Marsh
1867,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Salt Marsh
1939,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Salt Marsh
1997,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Salt Marsh
1293,Southern Coastal Plain Dry Upland Hardwood Forest,Subtropical Mixed Forest
1301,East Gulf Coastal Plain Maritime Forest,Subtropical Mixed Forest
1302,Southern Atlantic Coastal Plain Maritime Forest,Subtropical Mixed Forest
1316,Southern Coastal Plain Dry Upland Hardwood Forest,Subtropical Mixed Forest
1436,West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland,Subtropical Mixed Forest
1457,Central Atlantic Coastal Plain Maritime Forest,Subtropical Mixed Forest
1458,Southern Atlantic Coastal Plain Maritime Forest,Subtropical Mixed Forest
1505,West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland,Subtropical Mixed Forest
1508,Mississippi Delta Maritime Forest,Subtropical Mixed Forest
1741,Central and South Texas Coastal Fringe Forest and Woodland,Subtropical Mixed Forest
1742,West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland,Subtropical Mixed Forest
1785,Southern Coastal Plain Dry Upland Hardwood Forest,Subtropical Mixed Forest
1790,East Gulf Coastal Plain Maritime Forest,Subtropical Mixed Forest
1849,Central Atlantic Coastal Plain Maritime Forest,Subtropical Mixed Forest
2101,Southern Coastal Plain Dry Upland Hardwood Forest,Subtropical Mixed Forest
1295,Atlantic Coastal Plain Mesic Hardwood Forest - broadleaf evergreen,Subtropical Mixed Forest
1300,Southern Coastal Plain Mesic Slope Forest,Subtropical Mixed Forest
1456,Southern Coastal Plain Mesic Slope Forest,Subtropical Mixed Forest
1504,West Gulf Coastal Plain Mesic Hardwood Forest - broadleaf evergreen,Subtropical Mixed Forest
1520,East Gulf Coastal Plain Southern Loess Bluff Forest,Subtropical Mixed Forest
1768,East Gulf Coastal Plain Southern Loess Bluff Forest,Subtropical Mixed Forest
1784,East Gulf Coastal Plain Southern Loess Bluff Forest,Subtropical Mixed Forest
1788,Southern Coastal Plain Mesic Slope Forest,Subtropical Mixed Forest
559,Mediterranean California Mixed Evergreen Forest,Subtropical Mixed Forest
593,Mediterranean California Mixed Evergreen Forest,Subtropical Mixed Forest
774,Mediterranean California Mixed Evergreen Forest,Subtropical Mixed Forest
812,Mediterranean California Mixed Evergreen Forest,Subtropical Mixed Forest
915,Mediterranean California Mixed Evergreen Forest,Subtropical Mixed Forest
548,California Coastal Redwood Forest,Subtropical Mixed Forest
761,California Coastal Redwood Forest,Subtropical Mixed Forest
929,California Coastal Redwood Forest,Subtropical Mixed Forest
1294,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest - broadleaf evergreen,Subtropical Mixed Forest
1575,North-Central Interior Sand and Gravel Tallgrass Prairie,Tallgrass Prairie
1576,Central Tallgrass Prairie,Tallgrass Prairie
1603,North-Central Interior Sand and Gravel Tallgrass Prairie,Tallgrass Prairie
1604,Northern Tallgrass Prairie,Tallgrass Prairie
1631,North-Central Interior Sand and Gravel Tallgrass Prairie,Tallgrass Prairie
1632,Central Tallgrass Prairie,Tallgrass Prairie
1653,North-Central Interior Sand and Gravel Tallgrass Prairie,Tallgrass Prairie
1654,Northern Tallgrass Prairie,Tallgrass Prairie
1669,North-Central Interior Sand and Gravel Tallgrass Prairie,Tallgrass Prairie
1670,Northern Tallgrass Prairie,Tallgrass Prairie
1689,Central Tallgrass Prairie,Tallgrass Prairie
1707,Southeastern Great Plains Tallgrass Prairie,Tallgrass Prairie
1731,Southeastern Great Plains Tallgrass Prairie,Tallgrass Prairie
1971,North-Central Interior Sand and Gravel Tallgrass Prairie,Tallgrass Prairie
1972,Central Tallgrass Prairie,Tallgrass Prairie
2028,North-Central Interior Sand and Gravel Tallgrass Prairie,Tallgrass Prairie
2029,Central Tallgrass Prairie,Tallgrass Prairie
2045,North-Central Interior Sand and Gravel Tallgrass Prairie,Tallgrass Prairie
2046,Central Tallgrass Prairie,Tallgrass Prairie
2047,Southeastern Great Plains Tallgrass Prairie,Tallgrass Prairie
2062,Central Tallgrass Prairie,Tallgrass Prairie
2063,Southeastern Great Plains Tallgrass Prairie,Tallgrass Prairie
2123,North-Central Interior Sand and Gravel Tallgrass Prairie,Tallgrass Prairie
2124,Northern Tallgrass Prairie,Tallgrass Prairie
2125,Central Tallgrass Prairie,Tallgrass Prairie
2148,Central Tallgrass Prairie,Tallgrass Prairie
2149,Southeastern Great Plains Tallgrass Prairie,Tallgrass Prairie
1826,Southern Appalachian Grass and Shrub Bald,Tallgrass Prairie
1853,Eastern Serpentine Woodland,Tallgrass Prairie
2008,Central Interior Highlands Dry Acidic Glade and Barrens,Tallgrass Prairie
2078,Central Interior Highlands Dry Acidic Glade and Barrens,Tallgrass Prairie
1856,Central Appalachian Alkaline Glade and Woodland,Tallgrass Prairie
1886,Central Appalachian Alkaline Glade and Woodland,Tallgrass Prairie
1899,Central Appalachian Alkaline Glade and Woodland,Tallgrass Prairie
1954,Central Appalachian Alkaline Glade and Woodland,Tallgrass Prairie
2011,Central Interior Highlands Calcareous Glade and Barrens,Tallgrass Prairie
2026,Central Interior Highlands Calcareous Glade and Barrens,Tallgrass Prairie
2044,Central Interior Highlands Calcareous Glade and Barrens,Tallgrass Prairie
2079,Central Interior Highlands Calcareous Glade and Barrens,Tallgrass Prairie
2107,Nashville Basin Limestone Glade and Woodland,Tallgrass Prairie
2108,Central Interior Highlands Calcareous Glade and Barrens,Tallgrass Prairie
2109,Alabama Ketona Glade and Woodland,Tallgrass Prairie
2111,Eastern Highland Rim Prairie and Barrens,Tallgrass Prairie
2145,Central Interior Highlands Calcareous Glade and Barrens,Tallgrass Prairie
1574,Great Lakes Alvar,Tallgrass Prairie
1955,Great Lakes Alvar,Tallgrass Prairie
1441,West Gulf Coastal Plain Northern Calcareous Prairie,Tallgrass Prairie
1442,West Gulf Coastal Plain Southern Calcareous Prairie,Tallgrass Prairie
1524,West Gulf Coastal Plain Southern Calcareous Prairie,Tallgrass Prairie
1775,Southern Coastal Plain Blackland Prairie and Woodland,Tallgrass Prairie
2150,West Gulf Coastal Plain Northern Calcareous Prairie,Tallgrass Prairie
1459,Southern Atlantic Coastal Plain Dune and Maritime Grassland,Tallgrass Prairie
1857,Northern Atlantic Coastal Plain Dune and Swale,Tallgrass Prairie
1932,Northern Atlantic Coastal Plain Dune and Swale,Tallgrass Prairie
1991,Northern Atlantic Coastal Plain Dune and Swale,Tallgrass Prairie
1440,Southern Blackland Tallgrass Prairie,Tallgrass Prairie
1525,Lower Mississippi Alluvial Plain Grand Prairie,Tallgrass Prairie
1706,Southern Blackland Tallgrass Prairie,Tallgrass Prairie
1730,Southern Blackland Tallgrass Prairie,Tallgrass Prairie
1748,Southern Blackland Tallgrass Prairie,Tallgrass Prairie
2080,Bluegrass Savanna and Woodland,Tallgrass Prairie
2081,Pennyroyal Karst Plain Prairie and Barrens,Tallgrass Prairie
2082,East Gulf Coastal Plain Jackson Plain Prairie and Barrens,Tallgrass Prairie
2110,Western Highland Rim Prairie and Barrens,Tallgrass Prairie
2146,Arkansas Valley Prairie and Woodland - Prairie,Tallgrass Prairie
494,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
595,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
691,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
692,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
883,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
971,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
972,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1013,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1014,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1056,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1083,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1084,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1118,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1119,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1150,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1151,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1188,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1189,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1224,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1225,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1252,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1343,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1344,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1475,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
1476,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
449,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Temperate Coniferous Forest
485,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Temperate Coniferous Forest
658,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Temperate Coniferous Forest
715,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Temperate Coniferous Forest
907,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Temperate Coniferous Forest
1277,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Temperate Coniferous Forest
421,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Temperate Coniferous Forest
460,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Temperate Coniferous Forest
628,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Temperate Coniferous Forest
663,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Temperate Coniferous Forest
721,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Temperate Coniferous Forest
793,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Temperate Coniferous Forest
549,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Temperate Coniferous Forest
550,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Temperate Coniferous Forest
552,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
583,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Temperate Coniferous Forest
585,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
762,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Temperate Coniferous Forest
763,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Temperate Coniferous Forest
765,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
795,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Temperate Coniferous Forest
796,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Temperate Coniferous Forest
798,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
848,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,Temperate Coniferous Forest
932,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Temperate Coniferous Forest
558,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Temperate Coniferous Forest
724,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Temperate Coniferous Forest
726,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Temperate Coniferous Forest
736,North Pacific Broadleaf Landslide Forest and Shrubland,Temperate Coniferous Forest
757,North Pacific Wooded Volcanic Flowage,Temperate Coniferous Forest
759,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Temperate Coniferous Forest
772,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Temperate Coniferous Forest
773,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Temperate Coniferous Forest
776,North Pacific Broadleaf Landslide Forest and Shrubland,Temperate Coniferous Forest
786,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Temperate Coniferous Forest
806,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Temperate Coniferous Forest
808,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Temperate Coniferous Forest
822,North Pacific Broadleaf Landslide Forest and Shrubland,Temperate Coniferous Forest
849,North Pacific Wooded Volcanic Flowage,Temperate Coniferous Forest
851,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Temperate Coniferous Forest
418,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,Temperate Coniferous Forest
419,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,Temperate Coniferous Forest
422,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,Temperate Coniferous Forest
457,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,Temperate Coniferous Forest
458,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,Temperate Coniferous Forest
461,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,Temperate Coniferous Forest
486,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland - Fire-maintained Savanna,Temperate Coniferous Forest
722,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Temperate Coniferous Forest
723,North Pacific Hypermaritime Sitka Spruce Forest,Temperate Coniferous Forest
770,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Temperate Coniferous Forest
771,North Pacific Hypermaritime Sitka Spruce Forest,Temperate Coniferous Forest
805,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Temperate Coniferous Forest
977,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation,Temperate Coniferous Forest
1019,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation,Temperate Coniferous Forest
1123,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation,Temperate Coniferous Forest
1250,Northwestern Great Plains Highland White Spruce Woodland,Temperate Coniferous Forest
1435,West Gulf Coastal Plain Mesic Hardwood Forest,Temperate Deciduous Forest
1453,Atlantic Coastal Plain Mesic Hardwood Forest,Temperate Deciduous Forest
1518,West Gulf Coastal Plain Mesic Hardwood Forest,Temperate Deciduous Forest
1519,East Gulf Coastal Plain Northern Loess Bluff Forest,Temperate Deciduous Forest
1699,West Gulf Coastal Plain Mesic Hardwood Forest,Temperate Deciduous Forest
1740,West Gulf Coastal Plain Mesic Hardwood Forest,Temperate Deciduous Forest
1765,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Temperate Deciduous Forest
1766,East Gulf Coastal Plain Northern Loess Bluff Forest,Temperate Deciduous Forest
1767,East Gulf Coastal Plain Limestone Forest,Temperate Deciduous Forest
1772,Southern Coastal Plain Mesic Slope Forest - not evergreen,Temperate Deciduous Forest
1783,East Gulf Coastal Plain Limestone Forest,Temperate Deciduous Forest
1831,Atlantic Coastal Plain Mesic Hardwood Forest,Temperate Deciduous Forest
1844,Atlantic Coastal Plain Mesic Hardwood Forest,Temperate Deciduous Forest
2073,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Temperate Deciduous Forest
2075,East Gulf Coastal Plain Northern Loess Bluff Forest,Temperate Deciduous Forest
2077,Southern Coastal Plain Mesic Slope Forest - not evergreen,Temperate Deciduous Forest
2100,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Temperate Deciduous Forest
2138,West Gulf Coastal Plain Mesic Hardwood Forest,Temperate Deciduous Forest
1805,Southern Piedmont Mesic Forest,Temperate Deciduous Forest
1806,Southern and Central Appalachian Cove Forest,Temperate Deciduous Forest
1816,Southern Piedmont Mesic Forest,Temperate Deciduous Forest
1818,Southern and Central Appalachian Cove Forest,Temperate Deciduous Forest
1820,South-Central Interior Mesophytic Forest,Temperate Deciduous Forest
1829,Southern Piedmont Mesic Forest,Temperate Deciduous Forest
1841,Southern Piedmont Mesic Forest,Temperate Deciduous Forest
1872,Southern Piedmont Mesic Forest,Temperate Deciduous Forest
1874,Southern and Central Appalachian Cove Forest,Temperate Deciduous Forest
1876,South-Central Interior Mesophytic Forest,Temperate Deciduous Forest
1892,South-Central Interior Mesophytic Forest,Temperate Deciduous Forest
1913,South-Central Interior Mesophytic Forest,Temperate Deciduous Forest
2004,Southern and Central Appalachian Cove Forest,Temperate Deciduous Forest
2005,South-Central Interior Mesophytic Forest,Temperate Deciduous Forest
2021,South-Central Interior Mesophytic Forest,Temperate Deciduous Forest
2072,South-Central Interior Mesophytic Forest,Temperate Deciduous Forest
2097,Southern and Central Appalachian Cove Forest,Temperate Deciduous Forest
2099,South-Central Interior Mesophytic Forest,Temperate Deciduous Forest
1565,North-Central Interior Beech-Maple Forest,Temperate Deciduous Forest
1566,North-Central Interior Maple-Basswood Forest,Temperate Deciduous Forest
1591,North-Central Interior Maple-Basswood Forest,Temperate Deciduous Forest
1619,North-Central Interior Beech-Maple Forest,Temperate Deciduous Forest
1648,North-Central Interior Maple-Basswood Forest,Temperate Deciduous Forest
1665,North-Central Interior Maple-Basswood Forest,Temperate Deciduous Forest
1700,Ozark-Ouachita Mesic Hardwood Forest,Temperate Deciduous Forest
1911,North-Central Interior Beech-Maple Forest,Temperate Deciduous Forest
1967,North-Central Interior Beech-Maple Forest,Temperate Deciduous Forest
2019,North-Central Interior Beech-Maple Forest,Temperate Deciduous Forest
2041,North-Central Interior Maple-Basswood Forest,Temperate Deciduous Forest
2042,Ozark-Ouachita Mesic Hardwood Forest,Temperate Deciduous Forest
2061,North-Central Interior Maple-Basswood Forest,Temperate Deciduous Forest
2071,North-Central Interior Beech-Maple Forest,Temperate Deciduous Forest
2119,North-Central Interior Maple-Basswood Forest,Temperate Deciduous Forest
2137,North-Central Interior Maple-Basswood Forest,Temperate Deciduous Forest
2139,Ozark-Ouachita Mesic Hardwood Forest,Temperate Deciduous Forest
1517,Southern Crowley`s Ridge Mesic Loess Slope Forest,Temperate Deciduous Forest
1578,Great Lakes Wooded Dune and Swale,Temperate Grassland
1634,Great Lakes Wooded Dune and Swale,Temperate Grassland
2031,Great Lakes Wooded Dune and Swale,Temperate Grassland
569,California Mesic Serpentine Grassland,Temperate Grassland
922,California Central Valley and Southern Coastal Grassland,Temperate Grassland
955,California Central Valley and Southern Coastal Grassland,Temperate Grassland
956,California Mesic Serpentine Grassland,Temperate Grassland
440,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Temperate Grassland
441,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Temperate Grassland
442,Columbia Basin Palouse Prairie,Temperate Grassland
475,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Temperate Grassland
476,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Temperate Grassland
647,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Temperate Grassland
648,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Temperate Grassland
649,Columbia Basin Palouse Prairie,Temperate Grassland
679,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Temperate Grassland
680,Columbia Basin Palouse Prairie,Temperate Grassland
706,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Temperate Grassland
707,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Temperate Grassland
867,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Temperate Grassland
868,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Temperate Grassland
901,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Temperate Grassland
1267,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Temperate Grassland
1268,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Temperate Grassland
396,Southern Rocky Mountain Montane-Subalpine Grassland,Temperate Grassland
443,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
479,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
519,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
571,Mediterranean California Subalpine Meadow,Temperate Grassland
572,North Pacific Montane Grassland,Temperate Grassland
615,Mediterranean California Subalpine Meadow,Temperate Grassland
616,North Pacific Montane Grassland,Temperate Grassland
651,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
710,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
748,North Pacific Montane Grassland,Temperate Grassland
756,North Pacific Alpine and Subalpine Dry Grassland,Temperate Grassland
847,North Pacific Alpine and Subalpine Dry Grassland,Temperate Grassland
870,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
903,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
923,North Pacific Montane Grassland,Temperate Grassland
1000,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
1001,Southern Rocky Mountain Montane-Subalpine Grassland,Temperate Grassland
1041,Southern Rocky Mountain Montane-Subalpine Grassland,Temperate Grassland
1106,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
1141,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
1175,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
1176,Southern Rocky Mountain Montane-Subalpine Grassland,Temperate Grassland
1211,Southern Rocky Mountain Montane-Subalpine Grassland,Temperate Grassland
1270,Rocky Mountain Subalpine-Montane Mesic Meadow,Temperate Grassland
1370,Southern Rocky Mountain Montane-Subalpine Grassland,Temperate Grassland
1396,Southern Rocky Mountain Montane-Subalpine Grassland,Temperate Grassland
1495,Southern Rocky Mountain Montane-Subalpine Grassland,Temperate Grassland
570,California Northern Coastal Grassland,Temperate Grassland
743,Willamette Valley Upland Prairie and Savanna,Temperate Grassland
777,Willamette Valley Upland Prairie and Savanna,Temperate Grassland
779,California Northern Coastal Grassland,Temperate Grassland
831,Willamette Valley Upland Prairie and Savanna,Temperate Grassland
957,California Northern Coastal Grassland,Temperate Grassland
387,Western Great Plains Foothill and Piedmont Grassland,Temperate Grassland
862,Northwestern Great Plains Shrubland,Temperate Grassland
869,Northwestern Great Plains Mixedgrass Prairie,Temperate Grassland
1261,Northwestern Great Plains Shrubland,Temperate Grassland
1269,Northwestern Great Plains Mixedgrass Prairie,Temperate Grassland
1282,Northwestern Great Plains Shrubland,Temperate Grassland
1284,Northwestern Great Plains Mixedgrass Prairie,Temperate Grassland
1415,Central Mixedgrass Prairie,Temperate Grassland
1416,Western Great Plains Foothill and Piedmont Grassland,Temperate Grassland
1426,Central Mixedgrass Prairie,Temperate Grassland
1496,Western Great Plains Foothill and Piedmont Grassland,Temperate Grassland
1643,Northwestern Great Plains Mixedgrass Prairie,Temperate Grassland
1644,Western Great Plains Tallgrass Prairie,Temperate Grassland
1660,Northwestern Great Plains Mixedgrass Prairie,Temperate Grassland
1661,Western Great Plains Tallgrass Prairie,Temperate Grassland
1681,Central Mixedgrass Prairie,Temperate Grassland
1682,Northwestern Great Plains Mixedgrass Prairie,Temperate Grassland
