"file","taxon","name","Tclx_max","Tclx_min","Tgs_max","Tgs_min","Cindex_max","Cindex_min","Tcl_max","Tcl_min","M_max","M_min","MAP_max","MAP_min"
"name","name","name","0","0","0","0","0","0","0","0","0","0","0","0"
"abieamab","Abies amabilis","Pacific silver fir","-8.26814792633057","-30.2699686050415","14.7108484077454","5.79819580078125","3.61829330921173","-15.2699686050415","1.40894622325897","-14.9083796310425","12.7048753767582","1.9117572157493","3437.1360546875","603.347172851563"
"abiebals","Abies balsamea","balsam fir","-23.4973100662232","-50.6824662780762","15.7528436660767","6.11916066169739","-8.49731006622315","-35.6824662780762","-10.0123735046387","-29.3545279693604","4.82068028816506","1.17353645595331","1364.33221923828","441.683025512695"
"abiebrac","Abies bracteata","bristlecone fir","-4.2545990562439","-7.22828973770142","19.735457611084","15.8386596679688","8.67909233093262","6.9715566444397","2.41465312957764","-0.0287660759687424","1.35753992233989","0.670634135057433","860.576867675781","498.807210693359"
"abieconc","Abies concolor","white fir","-7.40120529174805","-30.0745696258545","20.8105697631836","6.68898597717285","5.84379322052001","-15.0745696258545","0.457643861770627","-17.3721272277832","3.59897580233323","0.399283721297638","1973.80045898437","279.268973388672"
"abiefras","Abies fraseri","Fraser fir","-16.8711199188232","-20.8437961578369","19.2760763549805","15.1857403182983","-1.87111991882324","-5.84379615783691","-4.22668210983276","-7.22360094070435","3.8842211895917","1.47490065356165","2331.29001953125","988.855747070312"
"abiegran","Abies grandis","grand fir","-4.59451387405396","-32.4177537536621","16.2620032119751","7.8814022731781","6.66949214935302","-17.4177537536621","2.84383213996887","-14.7729325485229","8.33030095866386","0.969564182621918","3159.4593359375","498.438668212891"
"abielasi","Abies lasiocarpa","subalpine fir","-16.3252530288696","-52.3389025878906","14.1028309059143","4.67985020637512","-1.69857912778854","-37.3389025878906","-4.64626314163208","-32.1146544647217","5.48487268537091","0.825353602990327","1832.65162841797","316.399300537109"
"abiemagn","Abies magnifica","California red fir","-9.38763868331909","-20.4546227645874","18.7517931747436","8.41021879196167","3.38831746101379","-5.4546227645874","-0.972599221467972","-9.98540906906128","4.18897464287738","0.716659824705157","2067.51956542969","377.955004272461"
"abieproc","Abies procera","noble fir","-6.78896130561829","-21.8089208984375","16.5242172622681","8.26126886367798","4.31653858184814","-6.8089208984375","0.956570024490356","-8.05471576690674","9.18526767731136","1.25425687505572","3296.67275390625","733.999735107422"
"acacberl","Senegalia berlandieri","Berlandier acacia","0.959390232563018","-10.3984670257568","28.4550141906738","18.8768762207031","15.959390232563","4.60153297424316","10.1113058853149","0.122797937691212","0.788358166500592","0.159908009502857","875.311296386718","211.221857299805"
