Latitude	Longitude	Elevation	Station_Name	State	bt0510	tmin	Frost50	Freeze50	t01	t02	t03	t04	t05	t06	t07	t08	t09	t10	t11	t12	tl01	tl02	tl03	tl04	tl05	tl06	tl07	tl08	tl09	tl10	tl11	tl12
33.83	-88.5214	60.4	ABERDEEN	MS	23.5648148148148	0.419333333333333	224	260	5.5	7.58333333333333	12.1666666666667	16.6388888888889	21.25	25.2777777777778	27.1666666666667	26.9166666666667	23.4444444444444	17.3333333333333	11.7222222222222	6.86111111111111	-0.388888888888889	1.33333333333333	5.33333333333333	9.72222222222222	14.8333333333333	19.3333333333333	21.4444444444444	21.0555555555556	17.3333333333333	10.6111111111111	5.16666666666667	0.999999999999998
46.9658	-123.8292	3	ABERDEEN	WA	14.2962962962963	2.707	230	304	5.83333333333333	6.41666666666667	7.88888888888889	9.41666666666667	12.0833333333333	14.3333333333333	16.1111111111111	16.4444444444444	15.3055555555556	11.5	7.63888888888889	5.11111111111111	2.88888888888889	2.55555555555556	3.72222222222222	5.05555555555556	7.88888888888889	10.5	12.1111111111111	12.2222222222222	10.2777777777778	6.94444444444444	4.22222222222222	2.16666666666667
38.9267	-97.2128	356.6	ABILENE	KS	22.4074074074074	-5.46366666666667	181	206	-0.388888888888889	2.36111111111111	7.52777777777778	13.3611111111111	19.3055555555556	24.7222222222222	27.7777777777778	26.6111111111111	21.5555555555556	14.4722222222222	7.13888888888889	0.666666666666668	-6.27777777777778	-4.05555555555556	0.88888888888889	6.77777777777778	13.3888888888889	18.6666666666667	21.4444444444444	20.1111111111111	14.8888888888889	7.94444444444444	1.05555555555555	-4.83333333333333
36.2403	-106.4278	1944.6	ABIQUIU DAM	NM	18.1342592592593	-7.77066666666667	166	188	-1.25	1.27777777777778	5.58333333333333	9.52777777777778	14.8888888888889	20.1666666666667	22.8333333333333	21.8055555555556	17.7222222222222	11.3888888888889	4.86111111111111	-0.333333333333334	-8.05555555555556	-5.55555555555556	-1.44444444444445	2	7.22222222222222	12.0555555555556	15	14.3333333333333	10	3.77777777777778	-2.05555555555555	-6.72222222222222
47.2992	-96.5161	276.5	ADA	MN	15.6944444444444	-18.8103333333333	136	156	-14	-11.25	-3.5	6.19444444444444	13.1944444444444	18.5	21	20.2222222222222	14.5	6.75	-2.47222222222222	-10.8888888888889	-19.6111111111111	-17.1111111111111	-8.83333333333333	-0.444444444444445	6.16666666666667	12.2777777777778	14.5555555555556	13.3333333333333	7.66666666666667	0.611111111111112	-7.33333333333333	-15.7222222222222
34.7864	-96.685	309.4	ADA	OK	23.6759259259259	-2.123	221	241	3.88888888888889	6.36111111111111	10.8055555555556	15.8611111111111	20.8333333333333	25.2222222222222	28.1388888888889	27.8888888888889	23.1111111111111	16.8611111111111	10.6666666666667	5.02777777777778	-2.94444444444444	-0.611111111111112	3.72222222222222	8.88888888888889	14.7777777777778	19.4444444444444	22.0555555555556	21.4444444444444	16.4444444444444	9.83333333333333	3.83333333333333	-1.55555555555556
42.1014	-77.2344	304.5	ADDISON	NY	15.8472222222222	-10.898	135	166	-4.94444444444444	-3.36111111111111	0.611111111111112	7.27777777777778	12.9722222222222	17.8055555555556	20.1944444444444	19.3888888888889	15.5	9.22222222222222	3.88888888888889	-2	-10.2222222222222	-8.83333333333333	-5.5	0.222222222222221	5.22222222222222	10.5	13.1666666666667	12.5	8.72222222222222	2.72222222222222	-1.55555555555556	-6.44444444444444
41.1936	-120.9447	1278.6	ADIN RS	CA	16.1851851851852	-4.75433333333333	100	140	2.02777777777778	3	5.77777777777778	8.63888888888889	12.5555555555556	16.3055555555556	20.6666666666667	20.1388888888889	16.4444444444444	11	4.72222222222222	1.02777777777778	-4.27777777777778	-3.88888888888889	-1.5	0.499999999999999	3.77777777777778	6.77777777777778	10.0555555555556	9.16666666666667	5.72222222222222	1.66666666666667	-2.05555555555555	-4.94444444444444
48.3006	-95.9817	348.1	AGASSIZ REFUGE	MN	15.6851851851852	-19.342	130	151	-14.5277777777778	-11.2777777777778	-3.5	6.05555555555555	13.5277777777778	18.5	21.0277777777778	19.9444444444444	14.4444444444444	6.66666666666667	-3	-11.75	-20.2222222222222	-17.5	-9.38888888888889	-0.666666666666666	6.72222222222222	12.1666666666667	14.6666666666667	13.2222222222222	7.88888888888889	0.611111111111112	-7.83333333333333	-16.8333333333333
33.9433	-113.1875	659.9	AGUILA	AZ	25.5740740740741	1.645	240	287	9.44444444444444	10.6944444444444	13.3055555555556	16.9444444444444	21.9722222222222	26.6111111111111	30.0555555555556	29.5833333333333	25.8888888888889	19.3888888888889	13.0833333333333	8.77777777777778	1.22222222222222	2.5	4.38888888888889	7.16666666666667	12	16.3888888888889	21.3888888888889	21.4444444444444	17.0555555555556	10.1666666666667	4.11111111111111	0.666666666666668
42.5522	-99.8556	765	AINSWORTH	NE	18.375	-9.947	157	174	-3.44444444444444	-1.66666666666667	3.30555555555556	9.13888888888889	15.0555555555556	20.3055555555556	23.75	22.75	17.6666666666667	10.7222222222222	2.72222222222222	-3.13888888888889	-9.22222222222222	-7.61111111111111	-3.16666666666667	2.22222222222222	8.44444444444445	13.7777777777778	17	16.1111111111111	10.6666666666667	4	-3.11111111111111	-8.61111111111111
