path	name	Latin Name	Common Name
tree_atlas_dd83/h-k/ilexamel.shp	ilexamel	Ilex amelanchier	sarvis holly
tree_atlas_dd83/h-k/ilexcass.shp	ilexcass	Ilex cassine	dahoon
tree_atlas_dd83/h-k/ilexcori.shp	ilexcori	Ilex coriacea	large gallberry
tree_atlas_dd83/h-k/ilexdeci.shp	ilexdeci	Ilex decidua	possumhaw
tree_atlas_dd83/h-k/ilexkrug.shp	ilexkrug	Ilex krugiana	tawnyberry holly
tree_atlas_dd83/h-k/ilexlaev.shp	ilexlaev	Ilex laevigata	smooth winterberry
tree_atlas_dd83/h-k/ilexlong.shp	ilexlong	Ilex longipes	Georgia holly
tree_atlas_dd83/h-k/ilexmont.shp	ilexmont	Ilex montana	mountain winterberry
tree_atlas_dd83/h-k/ilexmyrt.shp	ilexmyrt	Ilex myrtifolia	myrtle dahoon
tree_atlas_dd83/h-k/ilexopac.shp	ilexopac	Ilex opaca	American holly
tree_atlas_dd83/h-k/ilexvert.shp	ilexvert	Ilex verticillata	common winterberry
tree_atlas_dd83/h-k/ilexvomi.shp	ilexvomi	Ilex vomitoria	yaupon
tree_atlas_dd83/h-k/illiflor.shp	illiflor	Illicium floridanum	Florida anise tree
tree_atlas_dd83/h-k/illiparv.shp	illiparv	Illicium parviflorum	yellow anise tree
tree_atlas_dd83/h-k/jacqkeye.shp	jacqkeye	Jacquinia keyensis	joewood
tree_atlas_dd83/h-k/juglcali.shp	juglcali	Juglans californica	California walnut
tree_atlas_dd83/h-k/juglcine.shp	juglcine	Juglans cinerea	butternut
tree_atlas_dd83/h-k/juglhind.shp	juglhind	Juglans hindsii	Hinds walnut
tree_atlas_dd83/h-k/juglmajo.shp	juglmajo	Juglans major	Arizona walnut
tree_atlas_dd83/h-k/juglmicr.shp	juglmicr	Juglans microcarpa	little walnut
tree_atlas_dd83/h-k/juglnigr.shp	juglnigr	Juglans nigra	black walnut
tree_atlas_dd83/h-k/juniashe.shp	juniashe	Juniperus ashei	Ashe juniper
tree_atlas_dd83/h-k/junicali.shp	junicali	Juniperus californica	California juniper
tree_atlas_dd83/h-k/junicomm.shp	junicomm	Juniperus communis	common juniper
tree_atlas_dd83/h-k/junidepp.shp	junidepp	Juniperus deppeana	alligator juniper
tree_atlas_dd83/h-k/junieryt.shp	junieryt	Juniperus erythrocarpa	redberry juniper
tree_atlas_dd83/h-k/juniflac.shp	juniflac	Juniperus flaccida	drooping juniper
